  -18.416627390210007        41176902679964360.       3.70588169447442304E+017
  -18.412850395257131        40712961239713144.       3.66412728003895616E+017
  -18.409073400304258        40254247042066184.       3.62284347921931392E+017
  -18.405296405351386        39800701191518424.       3.58202477994882816E+017
  -18.401519410398514        39352265456142712.       3.54166599810529920E+017
  -18.397742415445638        38908882260112416.       3.50176193674125184E+017
  -18.393965420492766        38470494676310784.       3.46230747651516480E+017
  -18.390188425539893        38037046419019400.       3.42329755067801984E+017
  -18.386411430587017        37608481836692792.       3.38472715097600896E+017
  -18.382634435634145        37184745904814400.       3.34659132512494336E+017
  -18.378857440681273        36765784218829384.       3.30888517681989632E+017
  -18.375080445728400        36351542987161112.       3.27160386484393984E+017
  -18.371303450775525        35941969024303928.       3.23474260259308480E+017
  -18.367526455822652        35537009743996084.       3.19829665730460672E+017
  -18.363749460869780        35136613152465712.       3.16226134962224640E+017
  -18.359972465916908        34740727841756772.       3.12663205287083520E+017
  -18.356195470964032        34349302983127896.       3.09140419250633920E+017
  -18.352418476011159        33962288320527816.       3.05657324553865088E+017
  -18.348641481058287        33579634164140656.       3.02213473993738624E+017
  -18.344864486105415        33201291384007608.       2.98808425404103744E+017
  -18.341087491152539        32827211403718280.       2.95441741602624512E+017
  -18.337310496199667        32457346194175252.       2.92112990332129088E+017
  -18.333533501246794        32091648267425388.       2.88821744206036992E+017
  -18.329756506293919        31730070670563808.       2.85567580651074304E+017
  -18.325979511341046        31372566979706476.       2.82350081858805056E+017
  -18.322202516388174        31019091294027688.       2.79168834724573664E+017
  -18.318425521435302        30669598229868104.       2.76023430801650912E+017
  -18.314648526482426        30324042914907164.       2.72913466240600256E+017
  -18.310871531529553        29982380982403096.       2.69838541748494176E+017
  -18.307094536576681        29644568565494624.       2.66798262524771520E+017
  -18.303317541623809        29310562291570076.       2.63792238222151264E+017
  -18.299540546670933        28980319276698036.       2.60820082888253280E+017
  -18.295763551718061        28653797120122600.       2.57881414921282624E+017
  -18.291986556765188        28330953898817572.       2.54975857016501312E+017
  -18.288209561812316        28011748162105096.       2.52103036123696992E+017
  -18.284432566859440        27696138926333100.       2.49262583392746784E+017
  -18.280655571906568        27384085669614476.       2.46454134130627936E+017
  -18.276878576953695        27075548326622588.       2.43677327753845952E+017
  -18.273101582000823        26770487283448376.       2.40931807740547360E+017
  -18.269324587047947        26468863372513640.       2.38217221586363264E+017
  -18.265547592095075        26170637867543344.       2.35533220758450080E+017
  -18.261770597142203        25875772478591748.       2.32879460651825792E+017
  -18.257993602189327        25584229347127132.       2.30255600541717344E+017
  -18.254216607236454        25295971041171840.       2.27661303545596896E+017
  -18.250439612283582        25010960550494656.       2.25096236574156896E+017
  -18.246662617330710        24729161281860060.       2.22560070291415360E+017
  -18.242885622377834        24450537054329388.       2.20052479073296160E+017
  -18.239108627424962        24175052094616520.       2.17573140963557696E+017
  -18.235331632472089        23902671032493280.       2.15121737631992928E+017
  -18.231554637519217        23633358896249204.       2.12697954339535456E+017
  -18.227777642566341        23367081108200936.       2.10301479887325824E+017
  -18.224000647613469        23103803480253692.       2.07932006587970656E+017
  -18.220223652660597        22843492209510268.       2.05589230216766496E+017
  -18.216446657707724        22586113873931996.       2.03272849980940896E+017
  -18.212669662754848        22331635428047124.       2.00982568471980064E+017
  -18.208892667801976        22080024198708964.       1.98718091636654080E+017
  -18.205115672849104        21831247880899476.       1.96479128731891136E+017
  -18.201338677896228        21585274533582268.       1.94265392291398208E+017
  -18.197561682943356        21342072575602284.       1.92076598088324736E+017
  -18.193784687990483        21101610781629632.       1.89912465096768576E+017
  -18.190007693037611        20863858278151408.       1.87772715460072608E+017
  -18.186230698084735        20628784539507324.       1.85657074447815296E+017
  -18.182453703131863        20396359383971308.       1.83565270429417216E+017
  -18.178676708178990        20166552969875076.       1.81497034830671360E+017
  -18.174899713226118        19939335791777560.       1.79452102107480096E+017
  -18.171122718273242        19714678676676208.       1.77430209704886176E+017
  -18.167345723320370        19492552780262224.       1.75431098025493216E+017
  -18.163568728367498        19272929583215896.       1.73454510400929152E+017
  -18.159791733414625        19055780887545792.       1.71500193049772000E+017
  -18.156014738461749        18841078812967920.       1.69567895052582240E+017
  -18.152237743508877        18628795793326912.       1.67657368317285952E+017
  -18.148460748556005        18418904573055528.       1.65768367545718976E+017
  -18.144683753603129        18211378203675856.       1.63900650204955264E+017
  -18.140906758650257        18006190040339906.       1.62053976492942400E+017
  -18.137129763697384        17803313738407432.       1.60228109311207520E+017
  -18.133352768744512        17602723250064262.       1.58422814231408608E+017
  -18.129575773791636        17404392820977568.       1.56637859467649472E+017
  -18.125798778838764        17208296986989948.       1.54873015844393920E+017
  -18.122021783885891        17014410570848894.       1.53128056769015776E+017
  -18.118244788933019        16822708678974968.       1.51402758201552288E+017
  -18.114467793980143        16633166698265286.       1.49696898626802656E+017
  -18.110690799027271        16445760292934092.       1.48010259025003904E+017
  -18.106913804074399        16260465401387152.       1.46342622843211008E+017
  -18.103136809121526        16077258233133134.       1.44693775970998272E+017
  -18.099359814168650        15896115265728746.       1.43063506706730560E+017
  -18.095582819215778        15717013241759298.       1.41451605737599104E+017
  -18.091805824262906        15539929165851608.       1.39857866106025648E+017
  -18.088028829310030        15364840301722080.       1.38282083189106112E+017
  -18.084251834357158        15191724169258026.       1.36724054666424704E+017
  -18.080474839404285        15020558541630390.       1.35183580500194224E+017
  -18.076697844451413        14851321442440656.       1.33660462903517840E+017
  -18.072920849498537        14683991142898912.       1.32154506320552400E+017
  -18.069143854545665        14518546159034668.       1.30665517396825248E+017
