  0.704225E-04  0.000000E+00  0.200583E+08  0.260196E+08  0.260185E+08  0.000000E+00  0.200582E+08  0.472909E+07  0.200582E+08
  0.131567E-03  0.000000E+00  0.200546E+08  0.242869E+08  0.242834E+08  0.000000E+00  0.200545E+08  0.472822E+07  0.200545E+08
  0.245799E-03  0.000000E+00  0.200419E+08  0.190300E+08  0.190207E+08  0.000000E+00  0.200418E+08  0.472522E+07  0.200418E+08
  0.459213E-03  0.000000E+00  0.200003E+08  0.784122E+07  0.783060E+07  0.000000E+00  0.200000E+08  0.471534E+07  0.199999E+08
  0.857922E-03  0.000000E+00  0.198768E+08  0.974886E+06  0.979067E+06  0.000000E+00  0.198757E+08  0.468601E+07  0.198755E+08
  0.160281E-02  0.000000E+00  0.195607E+08  0.114553E+06  0.112267E+06  0.000000E+00  0.195571E+08  0.461077E+07  0.195564E+08
  0.299444E-02  0.000000E+00  0.188435E+08 -0.305544E+05 -0.320531E+05  0.000000E+00  0.188314E+08  0.443926E+07  0.188289E+08
  0.350086E-02  0.000000E+00  0.185651E+08 -0.315727E+05 -0.318221E+05  0.000000E+00  0.185487E+08  0.437242E+07  0.185454E+08
  0.409292E-02  0.000000E+00  0.182349E+08 -0.264794E+05 -0.262787E+05  0.000000E+00  0.182129E+08  0.429299E+07  0.182085E+08
  0.478511E-02  0.000000E+00  0.178462E+08 -0.194520E+05 -0.200897E+05  0.000000E+00  0.178168E+08  0.419925E+07  0.178109E+08
  0.559436E-02  0.000000E+00  0.173921E+08 -0.170736E+05 -0.171685E+05  0.000000E+00  0.173528E+08  0.408939E+07  0.173450E+08
  0.654046E-02  0.000000E+00  0.168649E+08 -0.132906E+05 -0.127501E+05  0.000000E+00  0.168128E+08  0.396147E+07  0.168024E+08
  0.764658E-02  0.000000E+00  0.162571E+08 -0.940171E+04 -0.924204E+04  0.000000E+00  0.161883E+08  0.381344E+07  0.161746E+08
  0.893975E-02  0.000000E+00  0.155595E+08 -0.631117E+04 -0.637567E+04  0.000000E+00  0.154688E+08  0.364279E+07  0.154507E+08
  0.104516E-01  0.000000E+00  0.147671E+08 -0.421426E+04 -0.441592E+04  0.000000E+00  0.146492E+08  0.344829E+07  0.146258E+08
  0.122192E-01  0.000000E+00  0.138686E+08 -0.344783E+04 -0.321670E+04  0.000000E+00  0.137162E+08  0.322669E+07  0.136859E+08
  0.142857E-01  0.000000E+00  0.128584E+08 -0.168962E+04 -0.201392E+04  0.000000E+00  0.126633E+08  0.297645E+07  0.126245E+08
  0.167017E-01  0.000000E+00  0.117334E+08 -0.151896E+04 -0.154459E+04  0.000000E+00  0.114864E+08  0.269653E+07  0.114372E+08
  0.195262E-01  0.000000E+00  0.104973E+08 -0.100961E+04 -0.888219E+03  0.000000E+00  0.101887E+08  0.238769E+07  0.101273E+08
  0.228285E-01  0.000000E+00  0.919875E+07  0.149301E+03 -0.561413E+03  0.000000E+00  0.881746E+07  0.206100E+07  0.874162E+07
  0.266892E-01  0.000000E+00  0.779070E+07 -0.290875E+03 -0.357522E+03  0.000000E+00  0.732944E+07  0.170642E+07  0.723770E+07
  0.312028E-01  0.000000E+00  0.639969E+07  0.828561E+02 -0.192507E+03  0.000000E+00  0.584772E+07  0.135282E+07  0.573794E+07
  0.364798E-01  0.000000E+00  0.506250E+07  0.469070E+02 -0.101017E+03  0.000000E+00  0.440874E+07  0.100878E+07  0.427871E+07
  0.426492E-01  0.000000E+00  0.388450E+07  0.330395E+02  0.784884E+02  0.000000E+00  0.310227E+07  0.694736E+06  0.294669E+07
  0.498619E-01  0.000000E+00  0.280797E+07  0.287942E+02  0.760583E+02  0.000000E+00  0.186760E+07  0.396224E+06  0.168057E+07
  0.582945E-01  0.000000E+00  0.178773E+07  0.267314E+02 -0.234969E+02  0.000000E+00  0.654901E+06  0.101283E+06  0.429587E+06
  0.670973E-01  0.000000E+00  0.866630E+06  0.206226E+02  0.263409E+02  0.000000E+00 -0.466473E+06 -0.172493E+06 -0.731621E+06
  0.759002E-01  0.000000E+00  0.329360E+05  0.271922E+02  0.314923E+00  0.000000E+00 -0.144809E+07 -0.410863E+06 -0.174266E+07
  0.847030E-01  0.000000E+00 -0.671292E+06  0.306944E+02  0.398522E+00  0.000000E+00 -0.225407E+07 -0.605660E+06 -0.256888E+07
  0.935058E-01  0.000000E+00 -0.125122E+07  0.232094E+02  0.313524E+01  0.000000E+00 -0.292164E+07 -0.767161E+06 -0.325388E+07
  0.102309E+00  0.000000E+00 -0.176190E+07  0.204288E+02  0.462598E+01  0.000000E+00 -0.354602E+07 -0.919700E+06 -0.390087E+07
  0.111111E+00  0.000000E+00 -0.225796E+07  0.167904E+02  0.279012E+01  0.000000E+00 -0.419270E+07 -0.107923E+07 -0.457750E+07
  0.119914E+00  0.000000E+00 -0.273961E+07  0.154539E+02  0.729349E+01  0.000000E+00 -0.483345E+07 -0.123776E+07 -0.524991E+07
  0.128717E+00  0.000000E+00 -0.316243E+07  0.163741E+02  0.608965E+01  0.000000E+00 -0.538252E+07 -0.137313E+07 -0.582409E+07
  0.137520E+00  0.000000E+00 -0.349285E+07  0.153017E+02  0.562486E+01  0.000000E+00 -0.578843E+07 -0.147237E+07 -0.624501E+07
  0.146323E+00  0.000000E+00 -0.375002E+07  0.132926E+02  0.734816E+01  0.000000E+00 -0.609022E+07 -0.154562E+07 -0.655568E+07
  0.155125E+00  0.000000E+00 -0.399385E+07  0.130661E+02  0.469658E+01  0.000000E+00 -0.638720E+07 -0.161813E+07 -0.686323E+07
