  0.704225E-04  0.000000E+00  0.200583E+08  0.260195E+08  0.260185E+08  0.000000E+00  0.200583E+08  0.472911E+07  0.200583E+08
  0.982826E-04  0.000000E+00  0.200569E+08  0.253472E+08  0.253452E+08  0.000000E+00  0.200569E+08  0.472878E+07  0.200569E+08
  0.137164E-03  0.000000E+00  0.200542E+08  0.240829E+08  0.240793E+08  0.000000E+00  0.200542E+08  0.472814E+07  0.200542E+08
  0.191428E-03  0.000000E+00  0.200490E+08  0.217834E+08  0.217777E+08  0.000000E+00  0.200490E+08  0.472691E+07  0.200490E+08
  0.267160E-03  0.000000E+00  0.200390E+08  0.178702E+08  0.178631E+08  0.000000E+00  0.200390E+08  0.472456E+07  0.200390E+08
  0.372851E-03  0.000000E+00  0.200202E+08  0.120430E+08  0.120404E+08  0.000000E+00  0.200202E+08  0.472012E+07  0.200202E+08
  0.520356E-03  0.000000E+00  0.199856E+08  0.546790E+07  0.548647E+07  0.000000E+00  0.199856E+08  0.471196E+07  0.199856E+08
  0.726215E-03  0.000000E+00  0.199243E+08  0.147024E+07  0.152382E+07  0.000000E+00  0.199244E+08  0.469753E+07  0.199244E+08
  0.101352E-02  0.000000E+00  0.198210E+08  0.779205E+06  0.833529E+06  0.000000E+00  0.198212E+08  0.467320E+07  0.198212E+08
  0.141447E-02  0.000000E+00  0.196540E+08  0.117528E+06  0.153140E+06  0.000000E+00  0.196542E+08  0.463384E+07  0.196542E+08
  0.197406E-02  0.000000E+00  0.193926E+08 -0.302203E+05  0.172576E+05  0.000000E+00  0.193930E+08  0.457227E+07  0.193931E+08
  0.275502E-02  0.000000E+00  0.189971E+08 -0.413864E+05 -0.759396E+04  0.000000E+00  0.189979E+08  0.447914E+07  0.189981E+08
  0.384494E-02  0.000000E+00  0.184195E+08 -0.383953E+05 -0.174175E+05  0.000000E+00  0.184211E+08  0.434318E+07  0.184214E+08
  0.417908E-02  0.000000E+00  0.182405E+08 -0.243711E+05 -0.107333E+05  0.000000E+00  0.182423E+08  0.430104E+07  0.182427E+08
  0.454226E-02  0.000000E+00  0.180458E+08 -0.236236E+05 -0.143173E+05  0.000000E+00  0.180480E+08  0.425524E+07  0.180484E+08
  0.493700E-02  0.000000E+00  0.178348E+08 -0.219929E+05 -0.122318E+05  0.000000E+00  0.178373E+08  0.420558E+07  0.178378E+08
  0.536605E-02  0.000000E+00  0.176064E+08 -0.181728E+05 -0.102422E+05  0.000000E+00  0.176093E+08  0.415185E+07  0.176099E+08
  0.583238E-02  0.000000E+00  0.173598E+08 -0.143955E+05 -0.107000E+05  0.000000E+00  0.173632E+08  0.409385E+07  0.173639E+08
  0.633923E-02  0.000000E+00  0.170941E+08 -0.149033E+05 -0.917479E+04  0.000000E+00  0.170981E+08  0.403138E+07  0.170989E+08
  0.689014E-02  0.000000E+00  0.168085E+08 -0.123894E+05 -0.835607E+04  0.000000E+00  0.168132E+08  0.396424E+07  0.168141E+08
  0.748892E-02  0.000000E+00  0.165021E+08 -0.909702E+04 -0.693566E+04  0.000000E+00  0.165076E+08  0.389222E+07  0.165087E+08
  0.813974E-02  0.000000E+00  0.161740E+08 -0.934789E+04 -0.605698E+04  0.000000E+00  0.161804E+08  0.381512E+07  0.161817E+08
  0.884711E-02  0.000000E+00  0.158234E+08 -0.638748E+04 -0.521939E+04  0.000000E+00  0.158308E+08  0.373275E+07  0.158323E+08
  0.961596E-02  0.000000E+00  0.154494E+08 -0.601760E+04 -0.406578E+04  0.000000E+00  0.154580E+08  0.364491E+07  0.154597E+08
  0.104516E-01  0.000000E+00  0.150512E+08 -0.430661E+04 -0.324488E+04  0.000000E+00  0.150612E+08  0.355141E+07  0.150631E+08
  0.113599E-01  0.000000E+00  0.146281E+08 -0.358498E+04 -0.316391E+04  0.000000E+00  0.146396E+08  0.345208E+07  0.146418E+08
  0.123471E-01  0.000000E+00  0.141793E+08 -0.345736E+04 -0.248592E+04  0.000000E+00  0.141925E+08  0.334676E+07  0.141951E+08
  0.134202E-01  0.000000E+00  0.137043E+08 -0.280364E+04 -0.203618E+04  0.000000E+00  0.137195E+08  0.323532E+07  0.137225E+08
  0.145864E-01  0.000000E+00  0.132029E+08 -0.201365E+04 -0.179666E+04  0.000000E+00  0.132202E+08  0.311770E+07  0.132236E+08
  0.158540E-01  0.000000E+00  0.126750E+08 -0.143107E+04 -0.158474E+04  0.000000E+00  0.126946E+08  0.299391E+07  0.126985E+08
  0.172318E-01  0.000000E+00  0.121447E+08  0.227609E+03 -0.121288E+04  0.000000E+00  0.121668E+08  0.286957E+07  0.121712E+08
  0.187293E-01  0.000000E+00  0.115702E+08  0.115027E+03 -0.110742E+04  0.000000E+00  0.115950E+08  0.273489E+07  0.115999E+08
  0.203570E-01  0.000000E+00  0.109731E+08  0.336917E+03 -0.777240E+03  0.000000E+00  0.110006E+08  0.259487E+07  0.110060E+08
  0.221261E-01  0.000000E+00  0.103387E+08 -0.642006E+03 -0.674743E+03  0.000000E+00  0.103689E+08  0.244608E+07  0.103749E+08
  0.240490E-01  0.000000E+00  0.970492E+07 -0.467437E+03 -0.520726E+03  0.000000E+00  0.973780E+07  0.229740E+07  0.974434E+07
  0.261389E-01  0.000000E+00  0.907254E+07 -0.114366E+03 -0.487643E+03  0.000000E+00  0.910778E+07  0.214897E+07  0.911478E+07
  0.284105E-01  0.000000E+00  0.843022E+07 -0.298664E+02 -0.343889E+03  0.000000E+00  0.846735E+07  0.199807E+07  0.847473E+07
