   56    0.15525E+04    0.16221E+00   -0.88010E+00    0.48524E+02    0.65780E+01    0.54090E+01
   57    0.15743E+04    0.17116E+00   -0.11567E+01    0.49362E+02    0.64647E+01    0.51483E+01
   58    0.15963E+04    0.18039E+00   -0.14458E+01    0.50199E+02    0.63548E+01    0.49028E+01
   59    0.16184E+04    0.18992E+00   -0.17470E+01    0.51033E+02    0.62482E+01    0.46718E+01
   60    0.16408E+04    0.19974E+00   -0.20599E+01    0.51864E+02    0.61448E+01    0.44545E+01
   61    0.16634E+04    0.20987E+00   -0.23839E+01    0.52694E+02    0.60444E+01    0.42503E+01
   62    0.16861E+04    0.22028E+00   -0.27193E+01    0.53520E+02    0.59470E+01    0.40585E+01
   63    0.17091E+04    0.23099E+00   -0.30660E+01    0.54344E+02    0.58524E+01    0.38785E+01
   64    0.17323E+04    0.24198E+00   -0.34243E+01    0.55164E+02    0.57605E+01    0.37096E+01
   65    0.17558E+04    0.25325E+00   -0.37943E+01    0.55980E+02    0.56712E+01    0.35512E+01
   66    0.17794E+04    0.26479E+00   -0.41761E+01    0.56793E+02    0.55844E+01    0.34026E+01
   67    0.18033E+04    0.27659E+00   -0.45699E+01    0.57600E+02    0.55000E+01    0.32632E+01
   68    0.18274E+04    0.28865E+00   -0.49757E+01    0.58402E+02    0.54179E+01    0.31324E+01
   69    0.18517E+04    0.30097E+00   -0.53938E+01    0.59200E+02    0.53379E+01    0.30095E+01
   70    0.18763E+04    0.31353E+00   -0.58243E+01    0.59991E+02    0.52601E+01    0.28940E+01
   71    0.19012E+04    0.32633E+00   -0.62672E+01    0.60776E+02    0.51842E+01    0.27851E+01
   72    0.19263E+04    0.33936E+00   -0.67224E+01    0.61555E+02    0.51103E+01    0.26826E+01
   73    0.19516E+04    0.35261E+00   -0.71896E+01    0.62326E+02    0.50381E+01    0.25861E+01
   74    0.19771E+04    0.36606E+00   -0.76686E+01    0.63090E+02    0.49677E+01    0.24953E+01
   75    0.20029E+04    0.37971E+00   -0.81592E+01    0.63846E+02    0.48989E+01    0.24100E+01
   76    0.20290E+04    0.39353E+00   -0.86612E+01    0.64593E+02    0.48318E+01    0.23298E+01
   77    0.20553E+04    0.40752E+00   -0.91743E+01    0.65331E+02    0.47661E+01    0.22545E+01
   78    0.20818E+04    0.42167E+00   -0.96983E+01    0.66060E+02    0.47019E+01    0.21836E+01
   79    0.21086E+04    0.43596E+00   -0.10233E+02    0.66779E+02    0.46389E+01    0.21170E+01
   80    0.21356E+04    0.45038E+00   -0.10778E+02    0.67487E+02    0.45773E+01    0.20544E+01
   81    0.21628E+04    0.46492E+00   -0.11333E+02    0.68184E+02    0.45169E+01    0.19953E+01
   82    0.21902E+04    0.47957E+00   -0.11898E+02    0.68870E+02    0.44576E+01    0.19396E+01
   83    0.22179E+04    0.49430E+00   -0.12472E+02    0.69544E+02    0.43994E+01    0.18871E+01
   84    0.22459E+04    0.50910E+00   -0.13055E+02    0.70207E+02    0.43423E+01    0.18374E+01
   85    0.22740E+04    0.52397E+00   -0.13645E+02    0.70858E+02    0.42862E+01    0.17905E+01
   86    0.23025E+04    0.53887E+00   -0.14242E+02    0.71497E+02    0.42310E+01    0.17460E+01
   87    0.23311E+04    0.55381E+00   -0.14847E+02    0.72124E+02    0.41768E+01    0.17037E+01
   88    0.23600E+04    0.56875E+00   -0.15457E+02    0.72738E+02    0.41236E+01    0.16634E+01
   89    0.23892E+04    0.58369E+00   -0.16073E+02    0.73339E+02    0.40711E+01    0.16248E+01
   90    0.24186E+04    0.59861E+00   -0.16694E+02    0.73927E+02    0.40195E+01    0.15878E+01
   91    0.24482E+04    0.61350E+00   -0.17320E+02    0.74502E+02    0.39686E+01    0.15520E+01
   92    0.24781E+04    0.62834E+00   -0.17949E+02    0.75064E+02    0.39185E+01    0.15175E+01
   93    0.25082E+04    0.64313E+00   -0.18582E+02    0.75614E+02    0.38692E+01    0.14842E+01
   94    0.25386E+04    0.65785E+00   -0.19218E+02    0.76150E+02    0.38206E+01    0.14520E+01
   95    0.25692E+04    0.67248E+00   -0.19857E+02    0.76675E+02    0.37726E+01    0.14209E+01
   96    0.26000E+04    0.68703E+00   -0.20498E+02    0.77188E+02    0.37254E+01    0.13908E+01
   97    0.26311E+04    0.70147E+00   -0.21141E+02    0.77688E+02    0.36789E+01    0.13618E+01
   98    0.26623E+04    0.71580E+00   -0.21785E+02    0.78177E+02    0.36331E+01    0.13338E+01
   99    0.26938E+04    0.73000E+00   -0.22430E+02    0.78655E+02    0.35879E+01    0.13066E+01
  100    0.27255E+04    0.74406E+00   -0.23076E+02    0.79121E+02    0.35433E+01    0.12804E+01
  101    0.27574E+04    0.75797E+00   -0.23722E+02    0.79577E+02    0.34994E+01    0.12550E+01
  102    0.27894E+04    0.77173E+00   -0.24368E+02    0.80022E+02    0.34561E+01    0.12303E+01
  103    0.28217E+04    0.78531E+00   -0.25014E+02    0.80456E+02    0.34134E+01    0.12065E+01
  104    0.28542E+04    0.79871E+00   -0.25658E+02    0.80880E+02    0.33713E+01    0.11833E+01
  105    0.28868E+04    0.81191E+00   -0.26300E+02    0.81294E+02    0.33298E+01    0.11608E+01
  106    0.29196E+04    0.82490E+00   -0.26941E+02    0.81699E+02    0.32889E+01    0.11389E+01
  107    0.29526E+04    0.83768E+00   -0.27579E+02    0.82094E+02    0.32485E+01    0.11176E+01
  108    0.29857E+04    0.85023E+00   -0.28215E+02    0.82479E+02    0.32086E+01    0.10968E+01
  109    0.30190E+04    0.86254E+00   -0.28847E+02    0.82855E+02    0.31693E+01    0.10765E+01
  110    0.30525E+04    0.87459E+00   -0.29476E+02    0.83223E+02    0.31304E+01    0.10566E+01
  111    0.30861E+04    0.88638E+00   -0.30101E+02    0.83581E+02    0.30921E+01    0.10371E+01
  112    0.31199E+04    0.89790E+00   -0.30721E+02    0.83932E+02    0.30542E+01    0.10181E+01
  113    0.31538E+04    0.90913E+00   -0.31336E+02    0.84274E+02    0.30169E+01    0.99937E+00
  114    0.31878E+04    0.92006E+00   -0.31945E+02    0.84609E+02    0.29800E+01    0.98106E+00
  115    0.32220E+04    0.93068E+00   -0.32548E+02    0.84936E+02    0.29436E+01    0.96314E+00
  116    0.32562E+04    0.94099E+00   -0.33143E+02    0.85257E+02    0.29077E+01    0.94558E+00
  117    0.32906E+04    0.95097E+00   -0.33731E+02    0.85570E+02    0.28723E+01    0.92840E+00
  118    0.33251E+04    0.96060E+00   -0.34311E+02    0.85878E+02    0.28374E+01    0.91157E+00
  119    0.33596E+04    0.96988E+00   -0.34883E+02    0.86179E+02    0.28029E+01    0.89511E+00
  120    0.33943E+04    0.97880E+00   -0.35445E+02    0.86474E+02    0.27689E+01    0.87900E+00
  121    0.34290E+04    0.98735E+00   -0.35997E+02    0.86764E+02    0.27354E+01    0.86323E+00
  122    0.34638E+04    0.99551E+00   -0.36538E+02    0.87049E+02    0.27023E+01    0.84781E+00
  123    0.34987E+04    0.10033E+01   -0.37069E+02    0.87329E+02    0.26697E+01    0.83273E+00
  124    0.35336E+04    0.10106E+01   -0.37588E+02    0.87605E+02    0.26376E+01    0.81798E+00
  125    0.35686E+04    0.10176E+01   -0.38094E+02    0.87877E+02    0.26059E+01    0.80356E+00
  126    0.36036E+04    0.10241E+01   -0.38588E+02    0.88144E+02    0.25747E+01    0.78947E+00
  127    0.36386E+04    0.10302E+01   -0.39069E+02    0.88409E+02    0.25439E+01    0.77569E+00
  128    0.36737E+04    0.10358E+01   -0.39535E+02    0.88670E+02    0.25136E+01    0.76223E+00
  129    0.37088E+04    0.10410E+01   -0.39987E+02    0.88928E+02    0.24838E+01    0.74907E+00
  130    0.37439E+04    0.10456E+01   -0.40424E+02    0.89184E+02    0.24544E+01    0.73622E+00
  131    0.37790E+04    0.10499E+01   -0.40845E+02    0.89438E+02    0.24254E+01    0.72367E+00
  132    0.38141E+04    0.10536E+01   -0.41249E+02    0.89689E+02    0.23969E+01    0.71141E+00
  133    0.38492E+04    0.10568E+01   -0.41637E+02    0.89938E+02    0.23688E+01    0.69944E+00
  134    0.38842E+04    0.10596E+01   -0.42008E+02    0.90185E+02    0.23411E+01    0.68774E+00
  135    0.39192E+04    0.10619E+01   -0.42362E+02    0.90430E+02    0.23138E+01    0.67632E+00
  136    0.39542E+04    0.10637E+01   -0.42697E+02    0.90673E+02    0.22870E+01    0.66515E+00
  137    0.39891E+04    0.10651E+01   -0.43014E+02    0.90914E+02    0.22606E+01    0.65424E+00
  138    0.40239E+04    0.10659E+01   -0.43313E+02    0.91153E+02    0.22346E+01    0.64358E+00
  139    0.40586E+04    0.10663E+01   -0.43592E+02    0.91389E+02    0.22090E+01    0.63317E+00
  140    0.40933E+04    0.10663E+01   -0.43851E+02    0.91624E+02    0.21837E+01    0.62298E+00
  141    0.41278E+04    0.10657E+01   -0.44090E+02    0.91856E+02    0.21589E+01    0.61302E+00
  142    0.41622E+04    0.10648E+01   -0.44308E+02    0.92086E+02    0.21344E+01    0.60328E+00
  143    0.41965E+04    0.10633E+01   -0.44505E+02    0.92315E+02    0.21104E+01    0.59376E+00
  144    0.42306E+04    0.10614E+01   -0.44681E+02    0.92541E+02    0.20867E+01    0.58444E+00
  145    0.42646E+04    0.10590E+01   -0.44834E+02    0.92765E+02    0.20633E+01    0.57531E+00
